timestamp,Z,Zscale,timestamp1
2018-07-11 09:04:02.326,0.789063,0.15059,2018-07-11 09:04:02
2018-07-11 09:04:02.366,0.789063,0.15059,2018-07-11 09:04:02
2018-07-11 09:04:02.405,0.785156,0.039606,2018-07-11 09:04:02
2018-07-11 09:04:02.444,0.789063,0.15059,2018-07-11 09:04:02
2018-07-11 09:04:02.484,0.78125,-0.07135,2018-07-11 09:04:02
2018-07-11 09:04:02.523,0.78125,-0.07135,2018-07-11 09:04:02
2018-07-11 09:04:02.562,0.789063,0.15059,2018-07-11 09:04:02
2018-07-11 09:04:02.602,0.785156,0.039606,2018-07-11 09:04:02
2018-07-11 09:04:02.641,0.78125,-0.07135,2018-07-11 09:04:02
2018-07-11 09:04:02.680,0.785156,0.039606,2018-07-11 09:04:02
2018-07-11 09:04:02.720,0.785156,0.039606,2018-07-11 09:04:02
2018-07-11 09:04:02.759,0.78125,-0.07135,2018-07-11 09:04:02
2018-07-11 09:04:02.798,0.785156,0.039606,2018-07-11 09:04:02
